Compilation;Date;Value;plotParameter
"CAPP 2012 - SCO + Bitumen";1978-02-05;59965.160298734;2
"CAPP 2012 - SCO + Bitumen";1978-02-27;60575.893960505;2
"CAPP 2012 - SCO + Bitumen";1978-03-21;61186.627622276;2
"CAPP 2012 - SCO + Bitumen";1978-04-12;61797.361284047;2
"CAPP 2012 - SCO + Bitumen";1978-05-04;62408.094945818;2
"CAPP 2012 - SCO + Bitumen";1978-05-26;63018.828607589;2
"CAPP 2012 - SCO + Bitumen";1978-06-17;63629.56226936;2
"CAPP 2012 - SCO + Bitumen";1978-07-09;64831.767121195;2
"CAPP 2012 - SCO + Bitumen";1978-07-31;67069.046555643;2
"CAPP 2012 - SCO + Bitumen";1978-08-22;69306.32599009;2
"CAPP 2012 - SCO + Bitumen";1978-09-13;71543.605424538;2
"CAPP 2012 - SCO + Bitumen";1978-10-05;73780.884858985;2
"CAPP 2012 - SCO + Bitumen";1978-10-27;76018.164293433;2
"CAPP 2012 - SCO + Bitumen";1978-11-18;78255.44372788;2
"CAPP 2012 - SCO + Bitumen";1978-12-10;80492.723162327;2
"CAPP 2012 - SCO + Bitumen";1979-01-01;82730.002596774;2
"CAPP 2012 - SCO + Bitumen";1979-01-23;84967.282031223;2
"CAPP 2012 - SCO + Bitumen";1979-02-14;87204.56146567;2
"CAPP 2012 - SCO + Bitumen";1979-03-08;89441.840900117;2
"CAPP 2012 - SCO + Bitumen";1979-03-30;91679.120334564;2
"CAPP 2012 - SCO + Bitumen";1979-04-21;93916.399769012;2
"CAPP 2012 - SCO + Bitumen";1979-05-13;96153.679203459;2
"CAPP 2012 - SCO + Bitumen";1979-06-04;98390.958637906;2
"CAPP 2012 - SCO + Bitumen";1979-06-26;100628.23807235;2
"CAPP 2012 - SCO + Bitumen";1979-07-18;102847.98742952;2
"CAPP 2012 - SCO + Bitumen";1979-08-09;105062.58088161;2
"CAPP 2012 - SCO + Bitumen";1979-08-31;107277.17433369;2
"CAPP 2012 - SCO + Bitumen";1979-09-22;109491.76778578;2
"CAPP 2012 - SCO + Bitumen";1979-10-14;111706.36123786;2
"CAPP 2012 - SCO + Bitumen";1979-11-05;113920.95468995;2
"CAPP 2012 - SCO + Bitumen";1979-11-27;116135.54814203;2
"CAPP 2012 - SCO + Bitumen";1979-12-19;118350.14159412;2
"CAPP 2012 - SCO + Bitumen";1980-01-10;120564.7350462;2
"CAPP 2012 - SCO + Bitumen";1980-02-01;122779.32849828;2
"CAPP 2012 - SCO + Bitumen";1980-02-23;124993.92195037;2
"CAPP 2012 - SCO + Bitumen";1980-03-16;127208.51540246;2
"CAPP 2012 - SCO + Bitumen";1980-04-07;129423.10885454;2
"CAPP 2012 - SCO + Bitumen";1980-04-29;131637.70230662;2
"CAPP 2012 - SCO + Bitumen";1980-05-21;133852.29575872;2
"CAPP 2012 - SCO + Bitumen";1980-06-12;136066.8892108;2
"CAPP 2012 - SCO + Bitumen";1980-07-04;137841.25608503;2
"CAPP 2012 - SCO + Bitumen";1980-07-26;136827.5212995;2
"CAPP 2012 - SCO + Bitumen";1980-08-17;135813.78651397;2
